A,B,C,Times
-1,-1,-1,2.16
1,-1,-1,2.25
-1,1,-1,1.96
1,1,-1,2.37
-1,-1,1,2.03
1,-1,1,2.52
-1,1,1,1.9
1,1,1,1.83
-1,-1,-1,2.25
1,-1,-1,2.22
-1,1,-1,1.96
1,1,-1,2.22
-1,-1,1,2.07
1,-1,1,2.27
-1,1,1,1.73
1,1,1,1.98
-1,-1,-1,2.18
1,-1,-1,2.25
-1,1,-1,2.03
1,1,-1,2.43
-1,-1,1,2.1
1,-1,1,2.27
-1,1,1,1.8
1,1,1,2
