A,B,C,Time1,Time2,Time3
-1,-1,-1,2.16,2.25,2.18
1,-1,-1,2.25,2.22,2.25
-1,1,-1,1.96,1.96,2.03
1,1,-1,2.37,2.22,2.43
-1,-1,1,2.03,2.07,2.1
1,-1,1,2.52,2.27,2.27
-1,1,1,1.9,1.73,1.8
1,1,1,1.83,1.98,2
