Wing Length,Body Length,Paperclips,Times,Run Order
-1,-1,-1,2.16,1
1,-1,-1,2.25,4
-1,1,-1,1.96,7
1,1,-1,2.37,10
-1,-1,1,2.03,13
1,-1,1,2.52,16
-1,1,1,1.9,19
1,1,1,1.83,22
-1,-1,-1,2.25,2
1,-1,-1,2.22,5
-1,1,-1,1.96,8
1,1,-1,2.22,11
-1,-1,1,2.07,14
1,-1,1,2.27,17
-1,1,1,1.73,20
1,1,1,1.98,23
-1,-1,-1,2.18,3
1,-1,-1,2.25,6
-1,1,-1,2.03,9
1,1,-1,2.43,12
-1,-1,1,2.1,15
1,-1,1,2.27,18
-1,1,1,1.8,21
1,1,1,2,24
