Wing,Body,Stem,,,,,,,
A,B,C,,,,,Wing length,Body thick,paper clip
-1,-1,-1,2.16,2.25,2.18,,5,0.5,1
1,-1,-1,2.25,2.22,2.25,,5.5,0.5,1
-1,1,-1,1.96,1.96,2.03,,5,1,1
1,1,-1,2.37,2.22,2.43,,5.5,1,1
-1,-1,1,2.03,2.07,2.1,,5,0.5,2
1,-1,1,2.52,2.27,2.27,,5.5,0.5,2
-1,1,1,1.9,1.73,1.8,,5,1,2
1,1,1,1.83,1.98,2,,5.5,1,2
,,,,,,,,,
,,,2.55,2.3,2.3,,7.5,0.5,1
,,,2.86,2.99,2.89,,7.5,1,1
,,,2.5,2.47,2.68,,,,
